,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners
124,0.64200002,NIC,LatAm,2527.1001,5.946000099182129,8.100000381469728,2.655974626541138,,
130,0.78299999,PLW,Pacific,9392.5996,0.0179999992251396,,,,70.16300201416016
188,0.79400003,URY,LatAm,12804.84,3.453999996185303,4.400000095367432,2.903504610061647,4.356939792633057,76.34809875488281
33,0.764,LKA,SouthAsia,5466.8701,20.54100036621094,7.800000190734862,4.644126892089844,1.9256600141525269,85.42613983154297
25,0.55199999,MMR,SouthEastAsia,5733.3701,51.41899871826172,5.699999809265138,2.659119129180908,,48.25643920898438
62,0.76800001,GEO,EastEurope,7148.5698,3.7300000190734863,5.400000095367432,3.20092511177063,1.983309984207153,92.05198669433594
46,0.875,CZE,EastEurope,23847.08,10.51200008392334,2.799999952316284,3.578998565673828,4.089019775390625,
106,0.43799999,MLI,SubSaharian,1063.26,14.854000091552729,8.399999618530272,3.003276109695435,3.7392899990081787,34.616100311279304
171,0.73799998,THA,SouthEastAsia,9295.5703,68.65699768066406,4.099999904632568,3.44985032081604,4.1288700103759775,83.64586639404297
131,0.54799998,PAK,SouthAsia,2855.55,186.19000244140634,7.0,3.3811123371124268,2.464349985122681,41.17535018920898
168,0.93800002,CHE,WesternDem,50454.41,8.140000343322754,2.099999904632568,5.986858367919923,5.096079826354981,84.2464828491211
189,0.69700003,UZB,EastEurope,7370.7202,29.74600028991699,6.300000190734862,,,92.20738220214844
97,0.42699999,LBR,SubSaharian,488.26999000000006,,6.5999999046325675,3.472222328186035,2.757560014724731,
61,0.69400001,GAB,SubSaharian,14525.28,,5.5,2.875664710998535,2.666169881820679,
103,0.47299999,MWI,SubSaharian,938.3499800000001,17.60400009155273,8.100000381469728,3.185531854629517,4.842539787292481,32.94229125976563
120,0.55500001,NPL,SouthAsia,1462.08,28.17499923706055,7.0,3.591810703277588,3.9813001155853267,59.67913055419922
182,0.74599999,MKD,EastEurope,9610.5996,2.069000005722046,5.5,3.961112499237061,,
72,0.49000001,HTI,LatAm,1024.9399,,9.300000190734863,2.325876951217651,,
59,0.89399999,FRA,WesternDem,34007.898,64.02799987792969,2.200000047683716,4.381113052368163,5.492990016937256,99.44432830810548
54,0.44100001,ETH,SubSaharian,900.7700199999999,88.34700012207031,7.0,3.5992515087127686,4.500510215759277,30.274250030517578
178,0.68800002,TKM,EastEurope,13217.39,,5.099999904632568,,3.055900096893311,
181,0.74800003,UKR,EastEurope,9326.7197,42.7599983215332,5.5,3.673648834228516,5.863540172576903,88.56585693359375
109,0.77899998,MUS,SubSaharian,10944.54,1.261000037193298,4.199999809265137,4.234806537628174,4.91772985458374,83.88175964355469
14,0.79400003,BRB,Caribbean,22888.971,0.2790000140666962,5.400000095367432,5.0402259826660165,6.573299884796143,99.42874908447266
31,0.64600003,CPV,SubSaharian,3972.6101,0.5120000243186951,8.600000381469728,3.891948699951172,4.99245023727417,69.1138687133789
37,,TWN,EastAsia,33965.871,23.43400001525879,,3.908831357955933,,
84,0.72899997,JAM,Caribbean,4668.77,2.799000024795532,7.800000190734862,3.711759328842163,6.024670124053955,73.51493835449219
107,0.85299999,MLT,WesternDem,24094.641,0.42500001192092896,4.0,5.026020526885986,7.848999977111816,88.06436157226562
98,0.71899998,LBY,NorthAfrica,4102.8398,6.265999794006348,6.4000000953674325,1.874972462654114,,
172,0.484,TGO,SubSaharian,1036.28,6.928999900817871,7.300000190734862,,4.868460178375244,
75,0.91900003,ISL,WesternDem,31313.609,0.3289999961853027,2.799999952316284,4.882655143737793,7.805850028991699,87.68177032470703
7,0.82599998,ARG,LatAm,15102.61,41.73300170898438,3.0,2.983357429504395,5.3254899978637695,88.24600219726562
26,0.40599999,BDI,SubSaharian,663.5700099999999,,6.800000190734862,2.595248937606812,5.416419982910156,24.94817924499512
128,0.63700002,FSM,Pacific,2624.05,0.1019999980926514,9.0,,12.46774959564209,
135,0.73699999,PER,LatAm,9227.1504,30.80900001525879,6.699999809265138,2.538634538650513,3.6897799968719482,78.37956237792969
92,0.662,KGZ,EastEurope,3010.24,5.894999980926514,6.4000000953674325,2.8536891937255864,5.527379989624023,80.17756652832031
162,0.88200003,ESP,WesternDem,31086.35,46.45500183105469,2.4000000953674316,3.4416911602020264,4.27092981338501,96.4586181640625
